manques de production lus dans anatomy-prod.txt : 29

-- par type de danse : n | trouves (production) | dans le top10 au moins une fois
  reel               177 | 170 ( 96%) | 174 ( 98%)
  jig                 85 |  76 ( 89%) |  83 ( 98%)
  slip jig            23 |  22 ( 96%) |  23 (100%)
  polka               22 |  15 ( 68%) |  18 ( 82%)
  hornpipe            18 |  16 ( 89%) |  18 (100%)
  slide                7 |   6 ( 86%) |   7 (100%)
  waltz                4 |   4 (100%) |   4 (100%)
  mazurka              2 |   2 (100%) |   2 (100%)
  strathspey           1 |   0 (  0%) |   1 (100%)
  march                1 |   0 (  0%) |   1 (100%)
  three-two            1 |   1 (100%) |   1 (100%)

-- par longueur de contour mediane du morceau : n | trouves (production) | dans le top10 au moins une fois
  contour 201-300    150 | 142 ( 95%) | 148 ( 99%)
  contour 131-200    108 | 100 ( 93%) | 106 ( 98%)
  contour<=130        46 |  36 ( 78%) |  41 ( 89%)
  contour>300         37 |  34 ( 92%) |  37 (100%)
