plancher                       ctl                  ctlL20                    t180                 t180L20                    t200                 t200L20
  0.16                310/22 80.0%            310/20 80.0%            312/16 81.4%            312/15 81.4%            315/17 80.2%            315/16 80.2%
  0.18                311/20 79.6%            311/18 79.6%            312/16 81.4%            312/15 81.4%            315/15 80.4%            315/14 80.4%
  0.20                311/20 79.5%            311/18 79.5%            312/16 81.1%            312/15 81.1%            315/15 80.2%            315/14 80.2%
  0.22                310/19 79.3%            310/17 79.3%            311/14 81.4%            311/13 81.4%            312/15 80.6%            312/14 80.6%
  0.24                307/17 79.4%            307/16 79.4%            307/13 81.8%            307/13 81.8%            310/14 80.4%            310/14 80.4%
  0.26                305/15 79.2%            305/14 79.2%            307/12 81.4%            307/12 81.4%            308/11 80.5%            308/11 80.5%
  0.28                303/14 78.6%            303/13 78.6%            305/11 81.4%            305/11 81.4%            306/11 79.3%            306/11 79.3%
  0.30                298/14 79.1%            298/13 79.1%            299/10 81.0%            299/10 81.0%            301/11 79.7%            301/11 79.7%
  0.32                291/12 79.5%            291/11 79.5%             296/8 80.6%             296/8 80.6%            291/10 81.5%            291/10 81.5%

meilleur rappel a fp <= budget (IoU du point retenu), sur le balayage
  fp<=5                          -                       -                       -                       -                       -                       -
  fp<=8                          -                       -       296/8 80.6% @0.32       296/8 80.6% @0.32                       -                       -
  fp<=10                         -                       -      299/10 81.0% @0.30      299/10 81.0% @0.30      291/10 81.5% @0.32      291/10 81.5% @0.32
  fp<=12        291/12 79.5% @0.32      291/11 79.5% @0.32      307/12 81.4% @0.26      307/12 81.4% @0.26      308/11 80.5% @0.26      308/11 80.5% @0.26
  fp<=15        305/15 79.2% @0.26      305/14 79.2% @0.26      311/14 81.4% @0.22      312/15 81.4% @0.16      315/15 80.4% @0.18      315/14 80.4% @0.18
  fp<=20        311/20 79.6% @0.18      311/18 79.6% @0.18      312/16 81.4% @0.16      312/15 81.4% @0.16      315/15 80.4% @0.18      315/14 80.4% @0.18
